id,question_text,option_a,option_b,option_c,option_d,has_image,image_urls,source_url
78,"Aşağıdakilerden hangisi, trafik denetim görevlilerinin istemesi hâlinde sürücülerin beyan etmek zorunda olduğu belgelerden biri değildir?","Sürücü belgesi","Araç bakım kartı","Araç tescil belgesi","Nüfus hüviyet cüzdanı",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
79,"Hangisi, motorun hararet yapmasına sebep olan durumlardan biri değildir?","Termostatın arızalanması","Uygun hız ve viteste gidilmemesi","Antifriz seviyesinin düşük olması","Vantilatör kayışının gevşemesi",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
80,"I. Kazazedenin tedavi edilmesi
II. Hayati tehlikenin ortadan kaldırılması
III. Yaşamsal fonksiyonların sürdürülmesinin sağlanması

Yukarıdakilerden hangileri ilk yardımın öncelikli amaçlarındandır?","I ve II.","I ve III.","II ve III.","I, II ve III.",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
81,"Aksine bir işaret bulunmadıkça, otoyolda otobüsler için azami hız saatte kaç kilometredir?","100","110","120","130",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
82,"Öğrenci servislerinde diğer taşıtlardan farklı olarak bulundurulması gerekenler aşağıdakilerden hangisinde doğru olarak verilmiştir?","“DUR” lambası ve sis ışıkları","Okul taşıtı yazısı ve “DUR” lambası","Park lambası ve yangın söndürücü","Okul taşıtı yazısı ve ilk yardım çantası",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
83,"Aşağıdakilerden hangisi aracın gösterge paneli üzerinde yer almaz?","Kilometre saati","Kontak anahtarı","Hava yastığı ikaz ışığı","El freni çekili ikaz ışığı",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
84,"Bilincin kapalı olması durumunda dilin geriye kayması ya da solunum yoluna yabancı cisim kaçması gibi nedenlere bağlı olarak solunum yolu tıkanabilir. Bu durumda kazazedenin boyun travması yoksa hava yolunu açmak için - - - - pozisyonu verilir.

Yukarıdaki açıklamada boş bırakılan yere hangisi yazılmalıdır?","şok","oturuş","yarı yüzükoyun-yan","baş geri-çene yukarı",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
85,"B sınıfı sürücü belgesi ile aşağıdaki araçlardan hangisi kullanılamaz?","Kamyon","Minibüs","Otomobil","Kamyonet",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
86,"Şekildeki kara yolunda 1 numaralı araç sürücüsünün Aşağıdakilerden hangisini yapması yanlıştır?","Bulunduğu şeritte seyretmesi","Geçme sırasında hızını artırması","Yol müsait ise önündeki aracı sollayarak geçmesi","Yol müsait değilse önündeki aracın sağından geçmesi",TRUE,"/images/banners/soru26.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
87,"Şekildeki 1 numaralı araç 60 km/saat hızla seyrederken önündeki araca en fazla kaç metre yaklaşabilir?","20","30","40","50",TRUE,"/images/10sinav10/soru55.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
88,"Hangi temel değere sahip sürücü, yoğun trafikte bir dizi hâlinde gitmekte olan diğer sürücülerin önlerine geçip, trafiği daha da sıkışık hâle getirerek yoluna devam etmez?","Bencil","Sorumsuz","Görgü seviyesi düşük","",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
89,"Fren hidroliğinin seviyesi hangi bakımda kontrol edilir?","Haftalık","Günlük","Aylık","Altı aylık",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
90,"Aşağıdakilerin hangisindeki arıza, farların yanmamasına sebep olur?","Bujilerdeki","Distribütördeki","Far anahtarındaki","Endüksiyon bobinindeki",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
91,"Tehlikeli madde taşıyan araçların, boş olarak seyretmesi sırasındaki azamî hızı için aşağıdakilerden hangisi söylenebilir?","Tehlikeli madde yüklü araçlar için belirlenen hızla gitmelidirler.","Tehlikeli maddenin cinsine göre belirlenen hızla gitmelidirler.","Kendi sınıflarındaki araçlar için belirlenen hızla gitmelidirler.","Aracın teknik özelliklerine uygun bir hız tespit etmelidirler.",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
92,"Trafik kazasına karışan kişilerin tümü, yetkililerin gelmesini gerekli görmez ve anlaşırlarsa, durumu aralarında yazılı olarak tespit etmek suretiyle olay yerinden ayrılabilirler. Yukarıdaki ifade hangi tür kazalarda geçerlidir?","Ölümlü kazalarda","Yaralanmalı kazalarda","Maddi hasarlı kazalarda","Maddi hasarlı ve yaralanmalı kazalarda",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
93,"Aksine bir durum yoksa, ışıklı trafik işaret cihazında kırmızı ışık yanmakta ise sürücü ne yapmalıdır?","Aracını durdurmalı","Durmadan geçmeli","Gelen araç yoksa dikkatli geçmeli","Yayalar geçebileceği için yavaş gitmeli",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
94,"Motordan gelen sıcak suyu, bünyesinde bulunan çok ince hava temas yüzeyleri (petekler) aracılığı ile soğutan parçaya - - - - denir. Verilen cümlede boş bırakılan yere, aşağıdakilerden hangisinin yazılması uygundur?","amortisör","radyatör","alternatör","distribütör",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
95,"Aşağıdaki davranışlardan hangisi trafik adabına sahip bir sürücü için uygundur?","Trafik polisi yoksa kırmızı ışıkta geçmek","Sürekli şerit değiştirerek araç kullanmak","Denetim korkusu olmadan emniyet kemerini takmak","Elektronik denetleme sisteminin olmadığı yerlerde hız limitlerini aşmak",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
96,"Görseldeki yolda, numaralanmış araçlardan hangileri en fazla 70 km/saat hızla yollarına devam edebilir?","Yalnız 4","1 ve 2","2 ve 3","3 ve 4",TRUE,"/images/animasyonlu_sorular/21.JPG","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
97,"Koşulların uygun olması hâlinde sürücü kesik yol çizgileri boyunca aşağıdakilerden hangisini yapabilir?","Diğer şeride geçemez.","Önündeki aracı geçebilir.","Takip mesafesini azaltabilir.","Sol şeritte sürekli seyredebilir.",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
98,"Bir kavşakta geçiş üstünlüğüne sahip aracın sesli ve ışıklı uyarısını alan sürücü nasıl hareket etmelidir?","Derhal kavşağı boşaltarak yol vermeli","Olduğu yerde hemen durmalı","Işıklı trafik işaretine uymalı","Geriye dönerek beklemeli",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
99,"Rot ayarı aşağıdakilerin hangisinden dolayı yapılır?","Aracı yavaş kullanmak için","Lastik aşıntılarını önlemek ve aracın düzgün istikamet takibi için","Daha rahat vites değişimi için","Lastik hava basıncını istenilen değerde tutmak için",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
100,"Kırık ve çıkık bölgesine ilk yardım olarak aşağıdaki işlemlerden hangisi yapılır?","Hareketsiz kalması sağlanır.","Kuvvetli masaj yapılır.","Sürekli buzla ovulur.","Turnike uygulanır.",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
101,"Şekildeki trafik işareti sürücüye neyi bildirir?","Azami hız sınırını","","","",TRUE,"/images/10sinav6/soru46.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
102,"Bu işaret neyi bildirir?","A) Taşıt yolunun daraldığını","B) Taşıtın giremeyeceğini","C) Geçme yasağı sonunu","D) Hız sınırlaması sonunu",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
103,"Aşağıdakilerden hangisi şokun belirtilerindendir?","","","","",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
104,"Aşağıdaki sağlık problemlerinden hangisinin motorlu taşıt sürücü adayında bulunması, sürücü belgesi almasına engel değildir?","Renk körlüğü","Alkol bağımlılığı","Psikotrop madde bağımlılığı","Günlük hayatı kısıtlayan denge problemi",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
105,"Kırığı olan ya da kırık şüphesi bulunan kazazedeye, aşağıdakilerden hangisinin yapılması doğru bir ilk yardım uygulamasıdır?","Sorunlu bölgenin hareketsizleştirilmesinin sağlanması","Kol ya da bacaktaki bozulmuş şeklin düzeltilmeye çalışılması","Kırık kuşkulu bölge hareketsizleştirilmeden taşıma yapılması","Kazazedenin oturmasına ya da sağa sola kımıldamasına izin verilmesi",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
106,"Görseldeki yaralıya ilk yardımcının, hangi uygulamayı yapması uygun değildir?","Boyun tespiti yapması","Yarı oturur pozisyona alması","Bilinç durumunu kontrol etmesi","Yaşam bulgularını (ABC) değerlendirmesi",TRUE,"/images/animasyonlu_sorular/6.JPG","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
107,"Yeni yönetmeliğe göre, C sınıfı sürücü belgesi alan bir kişi aşağıdaki araçlardan hangisini kullanabilir?","Çekici","Otobüs","Kamyon","İş makinesi",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
108,"Kanlarındaki alkol miktarı - - - - promilin üzerinde olan hususi otomobil sürücülerinin kara yolunda araç sürmesi yasaktır. Verilen ifadede boş bırakılan yere aşağıdakilerden hangisi yazılmalıdır?","0,20","0,30","0,40","0,50",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
109,"Trafik görevlisinin hangi hareketi ""trafiği yavaşlatma"" işaretidir?","","","","",TRUE,"/images/10sinav3/soru37a.gif;/images/10sinav3/soru37b.gif;/images/10sinav3/soru37c.gif;/images/10sinav3/soru37d.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
110,"Aşağıdakilerden hangisi bujinin görevidir?","Aküyü şarj etmek","Karışımı ateşlemek","Yüksek akım üretmek","Aküye akım göndermek",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
111,"Fren balatasının aşınmasında yukarıdakilerden hangileri etkilidir?","Yalnız I","I ve II","II ve III","I, II ve III",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
112,"Resimde görülen manevra, hangi amaçla uygulanır?","Kanamanın durdurulması için","Dolaşımın değerlendirilmesi için","Kemik kırıklarının tespit edilmesi için","Yabancı cisim tıkanmalarında solunum yolunu açmak için",TRUE,"/images/13subat/soru4.jpg","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
113,"Aşağıdakilerden hangisi çevre kirliliğinin azalmasına olumlu katkı sağlar?","Kurşun oranı yüksek yakıt kullanılması","Araç egzozlarının delik ve hasarlı olması","Araç bakımlarının düzenli olarak yaptırılması","Trafik yoğunluğu nedeniyle trafik akışının çok yavaş olması",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
114,"Bu bilgi, hangi organa aittir?","Beyin","Beyincik","Omurilik","Omurilik soğanı",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
115,"Kalp masajı uygulanabilmesi için kesinlikle olması gereken durum aşağıdakilerden hangisidir?","Kazazedenin sesli uyaranlara tepki vermemesi","Dolaşımın durması, kalp atımlarının alınamaması","","",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
116,"Karayollarındaki işaretleme standartlarını tespit etmek, aşağıdakilerden hangisinin sorumluluk ve yetki alanına girer?","Emniyet Genel Müdürlüğünün","Trafik Hizmetleri Başkanlığının","İl Trafik Komisyonunun","Karayolları Genel Müdürlüğünün",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
117,"Görseldeki gibi emisyon değeri yüksek egzoz dumanı çıkaran araçların kullanılması, hak ihlallerinden hangisinin kapsamına girmez?","Doğa ve Çevreye Karşı Yapılan Hak İhlalleri","Kamu Hak İhlalleri","Diğer Canlılara Karşı Yapılan Hak İhlalleri","Bireylere Karşı Yapılan Hak İhlalleri",TRUE,"/images/animasyonlu_sorular/50.JPG","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
118,"İlk yardımcının insan vücudu, yapısı ve işleyişi konusunda bazı temel kavramları bilmesi, yapacağı müdahalelerde bilinçli olmasını kolaylaştırır. Buna göre kalp, kan damarları ve kan vücudumuzdaki hangi sistemi oluşturan yapılardandır?","Dolaşım sistemini","Hareket sistemini","Sindirim sistemini","Solunum sistemini",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
119,"Aşağıdakilerden hangisi geçiş üstünlüğüne sahip araçlardandır?","İtfaiye aracı","Motosiklet","Tarım traktörü","Toplu taşıma aracı",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
120,"Aşağıdakilerden hangisine koltuk ferdi kaza sigortası yaptırılması zorunludur?","Otomobil","Çekici","Otobüs","Kamyonet",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
121,"Kara yolunda bir birim olarak seyretmek üzere birbirine bağlanmış, en çok iki römorktan oluşan araçlara ne ad verilir?","Arazi taşıtı","Taşıt katarı","Kamp taşıtı","Umum servis aracı",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
122,"Aşağıdakilerden hangisi kara yollarındaki işaretleme standartlarını tespit ve kontrol etmekle görevlidir?","İl Trafik Komisyonu","Emniyet Genel Müdürlüğü","Trafik Hizmetleri Başkanlığı","Karayolları Genel Müdürlüğü",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
123,"Aşağıdakilerden hangisi bujilerin ayarsız veya aşınmasına bağlı olarak meydana gelir?","Yakıt sarfiyatının artması","Motorun gücünün artması","Motorun hararet yapması","Motorun yağ yakması",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
124,"Kaza yerindeki araçtan, yaralının çıkarılmasında ilk aşama aşağıdakilerden hangisidir?","Yaralının araçtan çıkarılabileceği çıkış yerlerinin sağlanması","Motorun durdurulup aracın sabitlenmesi","Yaralıyı taşımak için sedye getirilmesi","Tıbbi yardım istenmesi",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
125,"Aşağıdakilerden hangisi trafik kazalarının en önemli sebebidir?","Sürücülerin kurallara uymaması","Uyarı işaretlerinin yetersiz olması","Trafik görevlilerinin yetersiz olması","Yolların bakımsız olması",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
126,"Hangisi, servis veya tamir atölyeleri tarafından yapılmalıdır?","Silecek lastiklerinin kontrolü","Antifiriz yoğunluk derecesi kontrolü","Lastik hava basınç kontrolü","Motor yağı seviyesinin kontrolü",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
127,"Şekildeki trafik işaretinin anlamı nedir?","Sola dönülmez","Sola zorunlu yön","Sağa zorunlu yön","Sağa dönülmez",TRUE,"/images/10sinav11/soru43.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
128,"Arızalanan aracı, diğer araç sürücülerinin daha iyi görmesi için aşağıdaki önlemlerden hangisinin alınması gerekir?","Aracın ön ve arkasına beyaz renkte taş dizilmelidir.","","","",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
129,"Gündüz çekilen ve çeken araç arasındaki açıklık iki buçuk metreden fazla ise bağlantının orta kısmına aşağıdakilerden hangisi asılmalıdır?","Beyaz bayrak","Sarı yansıtıcı veya 20x20 cm ebadında sarı bez","Kırmızı yansıtıcı veya 20x20 cm ebadında kırmızı bez","Yeşil yansıtıcı veya 20x20 cm ebadında yeşil bez",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
130,"Ailesi ile birlikte yolculuk yapan bir sürücü, aracını hız limitlerini aşarak sürdüğünde ailesinin hayatını da tehlikeye atmış olacaktır. Bu sürücü, hız ihlalinden kaynaklanan olası bir kazada sevdiklerinin canını riske atmakla trafikte hangi temel değeri yerine getirmemiş olur?","Hırçınlık","Sorumluluk","Bencillik","Hoşnutsuzluk",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
131,"Aşağıdakilerden hangisi su soğutmalı motorun soğutma sistemi parçasıdır?","Karter","Külbütör","Radyatör","Karbüratör",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
132,"Şekilde soru işareti (?) ile gösterilen ve vites kutusundan gelen hareketin diferansiyele iletilmesini sağlayan güç aktarma organının adı nedir?","Şaft","Aks","Volan","Kavrama",TRUE,"/images/sorular/6eylul2014ehliyetsorulari/soru42.jpg","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
133,"Taşıt yolu üzerine çizilen aşağıdaki yatay işaretlemelerden hangisinin adı, yavaşlama uyarı çizgileridir?","","","","",TRUE,"/images/sorular/10ocak2015ehliyetsorulari/soru23cevapa.jpg;/images/sorular/10ocak2015ehliyetsorulari/soru23cevapb.jpg;/images/sorular/10ocak2015ehliyetsorulari/soru23cevapc.jpg;/images/sorular/10ocak2015ehliyetsorulari/soru23cevapd.jpg","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
134,"Şekildeki kazada hangi numaralı araç sürücüsü asli kusurlu sayılır?","1","2","3","4",TRUE,"/images/20-mayis-2017/31.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
135,"Hız sınırlarını yüzde otuzdan fazla aşmak suretiyle ihlal edenlerin, sürücü belgelerinin bir yıl süre ile geri alınabilmesi için, aynı suçun bir yıl içinde kaç kez işlenmesi gerekir?","5","4","3","2",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
136,"Bayılan bir kazazedenin kusması varsa hangi pozisyonda tutulmalıdır?","Baş geride yarı oturuş","Sırtüstü yatış","Dik oturuş","Yan yatış",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
137,"Aşağıdakilerden hangisi, şoka girmiş kazazedede görülebilecek belirtilerden biri değildir?","Kan basıncında yükselme","Bilinç seviyesinde azalma","Hızlı ve yüzeysel solunum","Ciltte soğukluk, solukluk ve nemlilik",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
138,"Aşağıdakilerden hangisinin ayarsız olması, kampanaların aşırı ısınmasına neden olur?","Fren ayarının","Motor ayarının","Diferansiyel ayarının","Vites kutusu ayarının",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
139,"Aşağıdakilerden hangisi araçların plâkalarıyla ilgili getirilmiş yeni bir zorunluluktur?","Özel plaka olmalı","Vatandaş hangi ilde yaşıyorsa o ilden alınmış olunmalı","Tüm plakalar yeni mevzuata göre çelikten yapılmış olmalı","Plakaların sabitlenmesi için vidalanmamış olması",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
140,"Motorda yağ seviyesi normalin çok altında iken motor çalıştırılırsa ne olur?","Motor çok soğur.","Motor yakıtına yağ karışır.","Motor","",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
141,"Aşağıdakilerden hangisinin bozuk olması ön tekerleklerde düzensiz lastik aşıntısına sebep olur?","Buji ayarının","Rot ayarının","Avans ayarının","Rölanti ayarının",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
142,"Görselde karşıya geçmeye çalışan yayanın hızlı hareket etmesi için el, kol ve sözle uyarılarda bulunan sürücüyle ilgili hangisi söylenir?","İletişim kabiliyetinin yüksek olduğu","Empati kurabildiği","Sabırlı hareket edemediği","Saygı kavramına önem verdiği",TRUE,"/images/animasyonlu_sorular/49.JPG","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
143,"Şekildeki resme göre hangi aracın ilk geçiş hakkı vardır?","At arabası","Motosiklet","Otomobil","Kamyonet",TRUE,"/images/deneme/kural.jpg","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
144,"Hangisi, toplum adabına aykırı davranışlardandır?","Trafikte aracı arızalanan birine yardımcı olmak","Kaza, deprem, sel gibi felaketlerden çıkar sağlamaya çalışmak","Engellilere ayrılmış alanların dışına park etmek","Toplu taşıma araçlarındaki yaşlı, çocuklu veya engelli insanlara yer vermek",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
145,"Resimde görülen uygulama hangi pozisyonun veriliş aşamalarını göstermektedir?","Şok pozisyonu","Koma pozisyonu","Alt-çene pozisyonu","Baş-çene pozisyonu",TRUE,"/images/banners/soru12.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
146,"Görüş yetersizliği olan tepe üstü ve dönemeçlerde, aşağıdakilerden hangisinin yapılması yasaktır?","Hızın azaltılması","Öndeki aracın geçilmesi","Takip mesafesi kuralına uyulması","Bulunduğu şeridin sağına yaklaşılması",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
147,"Yetişkinlere yapılan dış kalp masajı uygulamasıyla ilgili verilenlerden hangisi doğrudur?","Göğüs kemiğinin alt ve üst ucunun tespit edilerek üst yarısına orta ve yüzük parmağının dik olarak yerleştirilmesi","Basıyı tam uygulayabilmek için kazazedeye uzak mesafede durulması","Göğüs kemiğine bası uygulama ve kaldırmanın ritmik olarak yapılması","Göğüs kemiği 1 cm çökecek şekilde bası uygulanması",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
148,"Trafikte hangi temel değere sahip olan sürücü, kendini yaya olan yol kullanıcısının yerine koyar ve aracını kaldırıma park etmekten kaçınır?","Empati düzeyi yüksek","Görgü seviyesi düşük","Sorumsuz","Bencil",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
149,"Görsele göre, 1 numaralı araç sürücüsünün numaralanmış davranışlardan hangilerini yapması trafik kazası riskini azaltır?","I ve II","I ve III","II ve III","I, II ve III",TRUE,"/images/animasyonlu_sorular/20.JPG","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
150,"Aşağıdakilerden hangisi, dolaşımın değerlendirilmesi aşamasında ilk yardımcının yaptığı uygulamalardandır?","Kazazedeye ""iyi misiniz?"" diye sorulması","Kazazedeye baş-çene pozisyonu verilmesi","Kazazedenin şah damarından 5 saniye süreyle nabız alınması","İlk yardımcının yüzünü kazazedenin ağzına yaklaştırması",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
151,"Şekildeki trafik işaretlerinin anlamları sırasıyla hangi seçenekte doğru olarak verilmiştir?","I. Yol ver - II. Girişi olmayan yol","I. Dur - II. Taşıt trafiğine kapalı yol","I. Taşıt trafiğine kapalı yol - II. Girişi olmayan yol","I. Azami hız sınırlaması - II. Bütün yasaklama ve kısıtlamaların sonu",TRUE,"/images/23araliksorulari/18.png","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
152,"Seyir hâlindeyken aracın gösterge panelinde hangisinin yanması, fren sisteminde hidrolik seviye düşüşü veya bir arıza olduğunu bildirir?","","","","",TRUE,"/images/10sinav9/soru115a.gif;/images/10sinav9/soru115b.gif;/images/10sinav9/soru115c.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
153,"","","","","<img src=""/images/10sinav9/soru115d.gif"" border=""0"" alt="""">",TRUE,"/images/10sinav9/soru115d.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-3.html"
154,"Kazazedenin dolaşımı değerlendirilirken; I. Bebeklerde kol atardamarından, II. Çocuk ve yetişkinlerde şah damarından nabız alınır.","","","","",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
155,"Verilenler için aşağıdakilerden hangisi söylenebilir?","I. doğru, II. yanlış","I. yanlış, II. doğru","Her ikisi de doğru","Her ikisi de yanlış",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
156,"Tepe üstüne yakın yerde veya dönemeçte arızalanan aracın ön ve arkasına konulacak yansıtıcı, diğer sürücüler tarafından normal hava şartlarında en az kaç metre mesafeden görülebilmelidir?","150","100","75","50",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
157,"Araç kornalarının aşağıda verilen durumların hangisinde kullanılması yasaktır?","Araç geçmede uyarı amaçlı","Kara yolunu kullananları uyarma amaçlı","Konvoy oluşturmuş araçlarda kamunun huzurunu bozacak şekilde","Yakın ilerisi görülemeyen kavşak ve tepe üstü gibi yerlere yaklaşırken gelişini haber vermede",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
158,"I. İdari para cezası verilir.
II. Kara yolunda araç sürmesine izin verilir.
III. Sürücü belgesi 5 yıl süreyle geçici olarak geri alınır.

Trafik kuruluşunca, uyuşturucu veya uyarıcı madde kullandığı tespit edilen sürücüye yukarıda verilenlerden hangileri uygulanır?","Yalnız I","I ve II","I ve III","I, II ve III",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
159,"Fazla eğimli yollarda karşılaşma hâllerinde; çıkan araç için geçiş güç veya mümkün değilse, güvenli geçişi sağlamak üzere inen araçlar, sığınma cebi de yoksa aşağıdakilerden hangisini yapmak zorundadır?","Motorun çalışmasını durdurup, vitesi boşa alarak inmek","Çıkan araç için manevra imkânı bulunmadığının açıkça anlaşılması hâlinde geri gitmek","Çıkan aracın sürücüsünü ikaz ederek yavaşlatmak","Çıkan aracın geri gitmesini beklemek",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
